text,labels,lang,id,translation
KDV Genel Uygulama Tebliği’nde Değişiklik,['VAT & Customs'],Turkish,Turkey-8019,Amendment to VAT General Application Communiqué
"Finansieringen af ""Arne""-pensionen","['Actuary, Pension & Insurance', 'Human Resource']",Danish,Denmark-13263,The financing of the “Arne” pension
60% of CEOs are rethinking their HR function,"['Human Resource', 'Board, Strategy & Management']",English,Global-13666,60% of CEOs are rethinking their HR function
PwCコンサルティング、クラウド型ERPパッケージとRPAを組み合わせ、企業のビジネスプロセスの最適化を支援,['Technology'],Japanese,Japan-9687,"PWC consulting, combining cloud -type ERP packages and RPA supports the optimization of corporate business processes"
Solamente el 29% de las grandes decisiones de negocio se toman a partir del análisis de datos,"['Technology', 'Board, Strategy & Management']",Spanish,Spain-2076,Only 29% of large business decisions are made from data analysis
"Korupcja biznesowa w Polsce nadal groźna, ale można jej przeciwdziałać",['Financial Crime'],Polish,Poland-1432,"Business corruption in Poland is still dangerous, but it can be counted"
Sector Público,['Government & Policy'],Spanish,Spain-2367,Public sector
Capital Markets 2020: Will it change for good?,['Banking & Financial Markets'],English,Greece-10926,Capital Markets 2020: Will it change for good?
Renew my business strategy,"['Board, Strategy & Management']",English,Finland-2980,Renew my business strategy
Política de Protección de Datos de PwC,"['Governance, Controls & Compliance']",Spanish,Spain-1911,PWC dates protection policy
CEO pessimism over global growth reaches record high,"['Board, Strategy & Management']",English,Global-14118,CEO pessimism over global growth reaches record high
Sergio Lavandera - director fiscalidad corporativa,['Tax'],Spanish,Spain-922,Sergio Lavandera - Corporate Taxation Director
Asset & Wealth Management,['Asset & wealth management'],English,Italy-4772,Asset & Wealth Management
Koronavirüs (COVID-19),['Healthcare & Pharmaceuticals'],Turkish,Turkey-9466,Coronavrys (Covid-19)
Digital Fitness uygulaması ücretsiz,['Technology'],Turkish,Turkey-6612,Digital Fitness Application Free
Bosna ve Hersek Menşeli Bazı Tarım ve İşlenmiş Tarım Ürünleri İthalatında Tarife Kontenjanı Uygulamasına İlişkin Tebliğde Değişiklik Yapılmasına Dair Tebliğ,['VAT & Customs'],Turkish,Turkey-7395,Communiqué on the application of tariff quota in some agricultural and processed agricultural products originating from Bosnia and Herzegovina.
İthalat Rejimi Kararına Ek Karar (Karar Sayısı: 1964) (2020 Yılı),['VAT & Customs'],Turkish,Turkey-7868,Additional Decision on the Import Regime Decision (Number of Decisions: 1964) (2020)
34 Digital Innovation Hubs that have qualified for the Smart Factories programme will receive support from PwC and Oxentia,"['Technology', 'Start-Up, Innovation & Entrepreneurship']",English,Poland-543,34 Digital Innovation Hubs that have qualified for the Smart Factories programme will receive support from PwC and Oxentia
Visszaszorulóban az adócsalás Magyarországon,"['Financial Crime', 'Tax']",Hungarian,Hungary-163,Infant to tax fraud in Hungary
PwC publishes 'Worldwide Tax Summaries - Corporate Taxes 2018/19',['Tax'],English,Global-14044,PwC publishes 'Worldwide Tax Summaries - Corporate Taxes 2018/19'
Request Access Entertainment & Media Outlook in Italy 2019-2023,"['Entertainment, Media & eSport']",English,Italy-4938,Request Access Entertainment & Media Outlook in Italy 2019-2023
İthalat Rejimi Kararına Ek Karar (Karar Sayısı: 956),['VAT & Customs'],Turkish,Turkey-7623,Additional Decision on the Import Regime Decision (Number of Decisions: 956)
Total Retail Survey 2016,['Retail & Consumers'],English,Denmark-13593,Total Retail Survey 2016
תעשיית התרופות,['Healthcare & Pharmaceuticals'],Hebrew,Israel-4305,The pharmaceutical industry
Contacte - Revista Ideas,"['Entertainment, Media & eSport']",Spanish,Spain-1935,Contact - Magazine Ideas
2017/11024 Bazı sanayi ürünlerinin ithalatında tarife kontenjanı uygulanması hakkında karar,['VAT & Customs'],Turkish,Turkey-7340,2017/11024 Decision on the implementation of tariff quota in imports of some industrial products
Ændring af beskatningen af deltagere i P/S'er og I/S'er mv.,['Tax'],Danish,Denmark-12237,"Changing the taxation of participants in P/S's and I/Ss, etc."
İthalat Rejimi Kararına Ek Kararı (Karar Sayısı: 1665),['VAT & Customs'],Turkish,Turkey-7626,Additional Decision on the Import Regime Decision (Number of Decisions: 1665)
"PwC udostępniło aplikację edukacyjną Digital Fitness Assessment, która rozwija i wzmacnia umiejętności cyfrowe","['Technology', 'Human Resource']",Polish,Poland-1804,"PwC has provided the Digital Fitness Assessment educational application, which develops and strengthens digital skills"
Diversity e inclusion in PwC,"['Human Resource', 'Corporate Responsibility']",Italian,Italy-4680,Diversity e inclusion in PwC
Fazla ve Yersiz Olarak Tahsil Edilen Vergilerin İadesinin Tecil Faizi ile Birlikte Yapılması,['Tax'],Turkish,Turkey-9460,The refund of the taxes collected excess and unwarranted together with the postponement interest
Omstilling: Ledere som satser på de unge,"['Human Resource', 'Board, Strategy & Management']",Norwegian,Norway-11909,Restructure: Leaders who focus on the young
Observatorio de la Industria Hotelera Española - Primavera-Semana Santa 2016,['Retail & Consumers'],Spanish,Spain-1870,Observatory of the Spanish Hotel Industry - Spring -Santa 2016
Real Estate 2020: Building the Future,['Real Estate & Construction'],English,Finland-3439,Real Estate 2020: Building the Future
People and Organisation | HR Management Consulting,"['Human Resource', 'Board, Strategy & Management']",English,Greece-10520,People and Organisation | HR Management Consulting
Authorized access to the Israeli Tax Authorities Computerized processing System (SHAAM),"['Tax', 'Government & Policy', 'Technology']",English,Israel-4137,Authorized access to the Israeli Tax Authorities Computerized processing System (SHAAM)
PwCあらた、日本マイクロソフトと共同で、Azure、O365クラウド利用における政府機関向けセキュリティリファレンスを提供開始,"['IT Security', 'Technology', 'Government & Policy']",Japanese,Japan-9866,"PWC Azure, Azure, Azure and O365 Culture Relief Falence with Microsoft Japan"
Gıda tedarikinin geleceği,['Supply Chain & Transport'],Turkish,Turkey-9018,Future of Food Supply
IFRS talks - oplysninger om væsentlige regnskabsmæssige skøn og vurderinger,['Accounting & Assurance'],Danish,Denmark-12604,IFRS TALKS - Information on essential accounting estimates and assessments
"PwC Poland, Airbus Poland, Cleanproject and SatRevolution to start a unique aerospace startup acceleration program  – Future Space Accelerator","['Start-Up, Innovation & Entrepreneurship']",English,Poland-569,"PwC Poland, Airbus Poland, Cleanproject and SatRevolution to start a unique aerospace startup acceleration program  – Future Space Accelerator"
Ruszył nabór do 3. edycji akceleratora PwC Startup Collider,"['Start-Up, Innovation & Entrepreneurship']",Polish,Poland-1693,Recruitment for the 3rd edition of the PwC Startup Collider accelerator has started
7194 sayılı Dijital Hizmet Vergisi Kanunu ile Bazı Kanunlarda ve 375 sayılı Kanun Hükmünde Kararnamede Değişiklik Yapılması Hakkında Kanun yayımlandı,"['Tax', 'Technology']",Turkish,Turkey-9341,The Law on Digital Service Tax Law No. 7194 and the Amendment of some laws and the Decree Law No. 375 was published
Sisäinen tarkastus,['Accounting & Assurance'],Finnish,Finland-3735,Internal inspection
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No:2018/9),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7484,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2018/9)
Regeringen vil reducere momsordning for almennyttige foreninger m.fl. fra 2018,"['VAT & Customs', 'Government & Policy']",Danish,Denmark-12375,The government will reduce VAT scheme for non -profit associations and others. from 2018
Fókuszban a vámérték - új iránymutatás az Európai Bizottságtól,"['VAT & Customs', 'Government & Policy']",Hungarian,Hungary-284,Focus on customs value - new guidance from the European Commission
Reelle ejere i foreninger - et kompliceret område,"['Board, Strategy & Management']",Danish,Denmark-12402,Real owners in associations - a complicated area
"יום חמישי, 24 דצמבר 2015,והתפתחויות בכללי ה - US GAAP & SEC","['Accounting & Assurance', 'Banking & Financial Markets']",Hebrew,Israel-4284,"Thursday, December 24, 2015, and developments in the US GAAP & SEC rules"
La pérdida de datos sensibles y los daños en activos físicos principales impactos de los ciberataques en las empresas españolas ,['IT Security'],Spanish,Spain-2198,The loss of sensitive data and damage to the main physical assets impacts of cyber attacks in Spanish companies
DAC6: The EU Directive on cross-border tax arrangements,"['Tax', 'Government & Policy']",English,Greece-11227,DAC6: The EU Directive on cross-border tax arrangements
PwC designado nuevo auditor de Abengoa,['Accounting & Assurance'],Spanish,Spain-220,PWC designated new Abengoa Auditor
Shipping: This is how you get listed,['Supply Chain & Transport'],English,Norway-11750,Shipping: This is how you get listed
Digitalisaatio ja innovaatiot,"['Start-Up, Innovation & Entrepreneurship', 'Technology']",Finnish,Finland-3414,Digitalisation and innovation
IFRS news - februar,['Accounting & Assurance'],Danish,Denmark-12021,IFRS News - February
"Vindkraft på land - hvordan balansere natur, lokal styringsrett og fornybar kraftproduksjon?","['Power, Energy & Renewables']",Norwegian,Norway-11986,"Wind power on land - How to balance nature, local management law and renewable power generation?"
EU har afsluttet sine forberedelser til et hårdt Brexit den 12. april,['Government & Policy'],Danish,Denmark-12726,The EU has completed its preparations for a hard Brexit on April 12
ÖTV Tutarları,['VAT & Customs'],Turkish,Turkey-7978,SCT amounts
Seçilmiş Gelir İdaresi Özelgeleri,['Accounting & Assurance'],Turkish,Turkey-8731,Selected Revenue Administration
Gümrük Genel Tebliği (Serbest Dolaşıma Giriş) (Seri No:16),['VAT & Customs'],Turkish,Turkey-7594,Customs General Communiqué (Introduction to Free Circulation) (Series No: 16)
Banking Banana Skins 2015,['Banking & Financial Markets'],English,Finland-3403,Banking Banana Skins 2015
Køber I spiritus og chokolade over grænsen?,['Retail & Consumers'],Danish,Denmark-12502,Do you buy spirits and chocolate across the border?
Strengthening digital society against cyber shocks,"['IT Security', 'Technology']",English,Turkey-5353,Strengthening digital society against cyber shocks
"Risk, Süreç ve Teknoloji Hizmetleri","['Technology', 'IT Security']",Turkish,Turkey-6989,"Risk, Process and Technology Services"
Energy and Utilities Industry,"['Power, Energy & Renewables']",English,Greece-10691,Energy and Utilities Industry
Industrial Manufacturing & Automotive | M&A Trends 2019 e Outlook 2020,['M&A & Valuations'],Italian,Italy-4890,Industrial Manufacturing & Automotive | M&A Trends 2019 e Outlook 2020
"Una Regulación Única, de verdad, y estable, principales retos de la Unión Bancaria",['Banking & Financial Markets'],Spanish,Spain-2051,"A unique, real, and stable regulation, main challenges of the bank union"
2019 Yılında İşverenlere Ne Kadar Asgari Ücret Desteği Sağlanacak?,"['Government & Policy', 'Human Resource']",Turkish,Turkey-8464,How much minimum wage support will be provided to employers in 2019?
Kreş yardımları konusunda 2 sevindirici haber,['Healthcare & Pharmaceuticals'],Turkish,Turkey-8449,2 pleasing news about nursery help
Gümrük Kanunu ve Bazı Kanunlarda Değişiklik Yapılması Hakkında Kanun - 7190,['VAT & Customs'],Turkish,Turkey-7598,Law on the Customs Law and Amendment of Some Laws - 7190
Yatırımlarda Devlet Yardımları Hakkında Kararda Değişiklik,['Government & Policy'],Turkish,Turkey-7310,Amendment to Decision on State Aids in Investments
UFRS / TFRS Bülteni - Aralık 2015,['Accounting & Assurance'],Turkish,Turkey-6541,UFRS / TFRS Bulletin - December 2015
Liderzy polskiej i światowej elektromobilności nagrodzeni po raz trzeci,"['Power, Energy & Renewables']",Polish,Poland-1828,Leaders of Polish and world electromobility awarded for the third time
İthalatta Haksız Rekabetin Önlenmesine İlişkin Tebliğ (Tebliğ No: 2019/37),"['VAT & Customs', 'Governance, Controls & Compliance']",Turkish,Turkey-7846,Communiqué on the Prevention of Unfair Competition in Imports (Communiqué No: 2019/37)
PwC Named a Leader in Portfolio and Capital Strategy Consulting,"['Asset & wealth management', 'Board, Strategy & Management']",English,Global-13760,PwC Named a Leader in Portfolio and Capital Strategy Consulting
"Tax and Legal News, December 2020",['Tax'],English,Finland-3214,"Tax and Legal News, December 2020"
UFRS / TFRS Bülteni - Ekim 2017,['Accounting & Assurance'],Turkish,Turkey-6500,UFRS / TFRS Bulletin - October 2017
"II ежегодная премия ""Деловая книга года в России"", учрежденная PwC, стартует сегодня","['Entertainment, Media & eSport']",Russian,Russia-11566,"II annual Prize ""Business Book of the Year in Russia"", established by PWC, starts today"
Wyborowa S.A. chce sprzedać grunty pod inwestycje rekreacyjno-sportowe nad Jeziorem Maltańskim w Poznaniu,"['Real Estate & Construction', 'Entertainment, Media & eSport']",Polish,Poland-1340,Wyborowa S.A. He wants to sell land for recreation and sports investments at Lake Malta in Poznań
Tarcza antykryzysowa i pomoc publiczna | Instrumenty wsparcia dla przedsiębiorstw,"['Board, Strategy & Management', 'Government & Policy']",Polish,Poland-1248,Anti -crisis shield and public aid Support instruments for enterprises
Otomatik Bireysel Emeklilik Sistemindeki Değişiklikler,"['Actuary, Pension & Insurance']",Turkish,Turkey-6801,Changes in Automatic Private Pension System
Encuesta Mundial de la Empresa Familiar 2018,['SME & Family Business'],Spanish,Spain-2390,World Survey of Family Business 2018
PwC największą firmą doradztwa podatkowego w Polsce,['Tax'],Polish,Poland-1731,PwC the largest tax advisory company in Poland
İşyeri Hekimlerinde e-Reçete Uygulaması ve SGK Kurumsal Hekim Şifresi Temini Hk.,"['Actuary, Pension & Insurance']",Turkish,Turkey-6902,E-Presenter Application in Workplace Physicians and Supply of Corporate Physician Password HK.
Skatterådet skærper praksis på forkert grundlag,['Tax'],Danish,Denmark-12057,The Tax Council sharpens practice on the wrong basis
5 Soruda Transfer Fiyatlandırması Dokümantasyon Yükümlülükleri,['Tax'],Turkish,Turkey-8312,Transfer pricing in 5 questions documentation obligations
Las grandes empresas cuentan con un Chief Digital Officer,"['Board, Strategy & Management', 'Technology']",Spanish,Spain-2185,Large companies have a digital chief office
Board Operation & Effectiveness,"['Board, Strategy & Management']",English,Iceland-11285,Board Operation & Effectiveness
Covid -19 Salgını Kapsamında Yönetim Kurulu Üyelerinin Sorumlulukları (Webex),"['Board, Strategy & Management', 'Healthcare & Pharmaceuticals']",Turkish,Turkey-9562,Responsibilities of the Board Members within the scope of Covid -19 epidemic (Weberx)
PwCあらた有限責任監査法人のパートナー、企業会計基準委員会（ASBJ）常勤委員に選任,"['Accounting & Assurance', 'Board, Strategy & Management']",Japanese,Japan-9644,PWC Arata Liability Audit Corporation Partner and Corporate Accounting Standards Committee (ASBJ) Join
Gümrük Genel Tebliği (Varış Öncesi Gümrük İşlemleri) (Seri NO:1),['VAT & Customs'],Turkish,Turkey-7595,Customs General Communiqué (Customs Procedures Pre -Arrival) (Serial No: 1)
PSD2: Kan tvungen åbenhed blive en strategisk mulighed?,"['Banking & Financial Markets', 'Board, Strategy & Management']",Danish,Denmark-13453,PSD2: Can forced openness be a strategic option?
Lovforslag om ophævelse af EBIT-reglen i SEL § 11 C og indførelse af en EBITDA-regel,"['Accounting & Assurance', 'Government & Policy']",Danish,Denmark-12610,Bills on the abolition of the EBIT rule in SEL § 11 C and the introduction of an EBITDA rule
Salg af fast ejendom efter udlejning - moms?,"['VAT & Customs', 'Real Estate & Construction']",Danish,Denmark-12191,Sales of real estate after rental - VAT?
De nye databeskyttelsesregler fører til indstilling om rekordstor bøde fra det britiske datatilsyn,"['Governance, Controls & Compliance', 'Government & Policy']",Danish,Denmark-12841,The new data protection rules lead to the recommendation of record fine fine from the British Data Inspectorate
7221 Sayılı Yasa Yayınlandı… Değerli Konut Vergisi ve Değer Artış Payı düzenlemeleri,"['Real Estate & Construction', 'Tax', 'Governance, Controls & Compliance']",Turkish,Turkey-8962,Law No. 7221 has been issued… Dear housing tax and value increase share arrangements
Creating value beyond the deal,['M&A & Valuations'],English,Italy-5056,Creating value beyond the deal
Business Valuations,['M&A & Valuations'],English,Iceland-11288,Business Valuations
"London regains position as Europe’s most active exchange for IPOs,  but IPO activity remains subdued across Europe",['Banking & Financial Markets'],English,Global-13966,"London regains position as Europe’s most active exchange for IPOs,  but IPO activity remains subdued across Europe"
Diploma in IFRS by ACCA,['Accounting & Assurance'],English,Greece-10146,Diploma in IFRS by ACCA
Japan defies demographic destiny by boosting workforce,['Human Resource'],English,Russia-11485,Japan defies demographic destiny by boosting workforce
"New tax benefits for R&D, innovation, design activities and Technology Development Zones","['Tax', 'Technology', 'Start-Up, Innovation & Entrepreneurship']",English,Turkey-5548,"New tax benefits for R&D, innovation, design activities and Technology Development Zones"
Sosyal Ağ Sağlayıcılarına İlişkin Hükümler,['IT Security'],Turkish,Turkey-9420,Provisions for Social Network Providers
Käyttöoikeusriskit - Riskienhallinta,"['Governance, Controls & Compliance']",Finnish,Finland-3623,Risk Risks - Risk Management
Mobilny dostęp do Internetu będzie napędzać rozwój  rynku mediów i rozrywki w latach 2013-2017,"['Entertainment, Media & eSport', 'Technology']",Polish,Poland-1323,Mobile Internet access will drive the development of the media and entertainment market in 2013-2017
Jednolity Plik Kontrolny – rośnie liczba kontroli z użyciem JPK,['Accounting & Assurance'],Polish,Poland-1187,Uniform Control File - the number of inspections using JPK is increasing
Our commitment during COVID-19,['Healthcare & Pharmaceuticals'],English,Italy-4673,Our commitment during COVID-19
Payment deadlines for B tax and provisional labour market contributions are deferred,['Tax'],English,Denmark-13106,Payment deadlines for B tax and provisional labour market contributions are deferred
Zawieszenia celne oraz kontyngenty taryfowe - potencjał dla branży motoryzacyjnej,['VAT & Customs'],Polish,Poland-739,Customs suspensions and tariff quotas - potential for the automotive industry
USGAAP 2013 כנס,['Accounting & Assurance'],Hebrew,Israel-4290,USGAAP 2013 Conference
Libor’a vedanın finansal tablo etkileri,"['Banking & Financial Markets', 'Accounting & Assurance']",Turkish,Turkey-8431,Financial Table Effects of the farewell to Libor
PwC Küresel Özel Sermaye Fonları Sorumlu Yatırım Anketi 2013: Değere fiyat biçmek,"['Asset & wealth management', 'Corporate Responsibility']",Turkish,Turkey-9603,PWC Global Private Capital Funds Responsible Investment Survey 2013: Value
Outsourcing and integration vital to worldwide manufacturing supply chain execution,['Supply Chain & Transport'],English,Global-13729,Outsourcing and integration vital to worldwide manufacturing supply chain execution
Gayrimenkulde Gelişen Trendler: Avrupa 2019,['Real Estate & Construction'],Turkish,Turkey-8987,Trends in Real Estate: Europe 2019
"Podcast: Nyt om skat, uge 10 - Guide til årsopgørelsen","['Tax', 'Accounting & Assurance']",Danish,Denmark-12745,"Podcast: News about Tax, Week 10 - Guide to the Annual Statement"
"Διοίκηση της Απόδοσης: Βασικές Έννοιες, Πρακτικές και Εργαλεία",['Human Resource'],Greek,Greece-10121,"Performance Management: Basic Concepts, Practices and Tools"
Sağlık Hizmetleri: Dijitalleşme,"['Healthcare & Pharmaceuticals', 'Technology']",Turkish,Turkey-9037,Health Services: Digitalization
PwC's Global Economic Crime Survey 2018,['Financial Crime'],English,Denmark-13556,PwC's Global Economic Crime Survey 2018
Küresel Dijital IQ Araştırması 2018,['Technology'],Turkish,Turkey-6365,Global Digital IQ Research 2018
Le FinTech alla prova del COVID-19,"['Banking & Financial Markets', 'Technology', 'Healthcare & Pharmaceuticals']",Italian,Italy-4851,The Fintech to the Covid-19 test
"Podcast: Nyt om skat, 16. marts - COVID-19: B-skat og arbejdsmarkedsbidrag","['Tax', 'Human Resource', 'Healthcare & Pharmaceuticals']",Danish,Denmark-13108,"Podcast: News about Tax, March 16-Covid-19: B-Tax and Labor Market Contribution"
קלינטק,"['Power, Energy & Renewables', 'Technology']",Hebrew,Israel-4242,Claintk
Vejledning om databeskyttelse i ansættelsesforhold nu offentliggjort,"['Human Resource', 'Governance, Controls & Compliance']",Danish,Denmark-12672,Data Protection Guide in Employment Relations Now Published
Buy side due diligence,['M&A & Valuations'],English,Italy-5078,Buy side due diligence
Nowelizacja ustawy o CIT dotycząca zwolnienia z opodatkowania funduszy inwestycyjnych opublikowana w Dzienniku Ustaw,"['Tax', 'Asset & wealth management']",Polish,Poland-1069,Amendment to the CIT Act regarding the exemption from the taxation of investment funds published in the Journal of Laws
"@digital #37: Legal Tech, czyli nowe wyzwania dla prawników","['Technology', 'Governance, Controls & Compliance']",Polish,Poland-1015,"@digital #37: Legal Tech, or new challenges for lawyers"
"PwC IFRS 17 webcast invitation: Latest IFRS 17 developments - ""Facing IFRS 17 with Confidence""","['Accounting & Assurance', 'Actuary, Pension & Insurance']",Danish,Denmark-12863,"PwC IFRS 17 webcast invitation: Latest IFRS 17 developments - ""Facing IFRS 17 with Confidence"""
İhracı Yasak ve Ön İzne Bağlı Mallara İlişkin Tebliğ (İhracat 96/31)'de Değişiklik,['VAT & Customs'],Turkish,Turkey-7770,Amendment in the Communiqué on Exports for Prohibited and Pre -Pre -Permission (Exports 96/31)
21st CEO Survey: Key findings from the banking and capital markets industry,"['Banking & Financial Markets', 'Board, Strategy & Management']",English,Turkey-5947,21st CEO Survey: Key findings from the banking and capital markets industry
ABD Menşeli Bazı Ürünlerin İthalatında Ek Mali Yükümlülük Uygulanması,"['VAT & Customs', 'Accounting & Assurance']",Turkish,Turkey-7994,Application of additional financial obligation in imports of some products with US origin
İthalatta Kota ve Tarife Kontenjanı İdaresine İlişkin Tebliğ (Tebliğ No:2019/5),['VAT & Customs'],Turkish,Turkey-7681,Communiqué on quota and tariff quota in imports (Communiqué No: 2019/5)
10 important points when considering business transition,"['Board, Strategy & Management']",English,Greece-11208,10 important points when considering business transition
Data & Analytics,['Technology'],English,Spain-1048,Data & Analytics
Almost a third of consumers plan for new AI home devices,"['Retail & Consumers', 'Technology']",English,Global-14004,Almost a third of consumers plan for new AI home devices
Ny teknologi forutser fremtiden for bedrifter,['Technology'],Norwegian,Norway-11900,New technology predicts the future of businesses
PwC's Internal Coaching School,['Human Resource'],English,Italy-4884,PwC's Internal Coaching School
Der kommer afgift på peanut butter,['VAT & Customs'],Danish,Denmark-12352,There is tax on peanut butter
İthalatta Gözetim Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2018/14),['VAT & Customs'],Turkish,Turkey-7472,Communiqué on the Implementation of Import (Communiqué No: 2018/14)
Las reestructuración bancaria impulsa el mercado de transacciones en el sector financiero en Europa,['Banking & Financial Markets'],Spanish,Spain-2009,Banking restructuring promotes the transaction market in the financial sector in Europe
Tax and legal news 28 February 2017,['Tax'],English,Finland-3257,Tax and legal news 28 February 2017
Muhasebe,['Accounting & Assurance'],Turkish,Turkey-8268,Accounting
Regnskabsmæssig behandling af lån mellem koncernforbundne virksomheder,"['Accounting & Assurance', 'Banking & Financial Markets']",Danish,Denmark-12533,Accounting processing of loans between group affiliated companies
"""Cybercrime"" er hverdag og virkelighed for danske virksomheder",['IT Security'],Danish,Denmark-12414,"""Cybercrime"" is everyday and reality for Danish companies"
Nyheder indenfor IFRS,['Accounting & Assurance'],Danish,Denmark-12706,News within IFRS
Finansal Risk Yönetimi,['Banking & Financial Markets'],Turkish,Turkey-6489,Financial risk management
Stor stigning i anmeldelser om sikkerhedsbrud,['IT Security'],Danish,Denmark-13049,Large increase in reviews of security breaches
Türkiye Cumhuriyeti ve Polonya Cumhuriyeti Sosyal Güvenlik Anlaşması,"['Actuary, Pension & Insurance']",Turkish,Turkey-6871,Republic of Türkiye and the Republic of Poland Social Security Agreement
Alejandro Esnal - Socio responsable de Auditoría para el sector financiero,"['Accounting & Assurance', 'Banking & Financial Markets']",Spanish,Spain-327,Alejandro Esnal - Responsible Member of Audit for the Financial Sector
Çin ve Kore menşeli beton pompaları ile beton pompalama taşıtlarının ithalatında dampinge karşı vergi,"['VAT & Customs', 'Government & Policy']",Turkish,Turkey-8166,Tax on the import of concrete pumps and concrete pumping vehicles with Chinese and Korea
Nowe obowiązki nałożone na instytucje finansowe – projekt ustawy o wykorzystaniu sektora finansowego w przeciwdziałaniu wyłudzeniom skarbowym,"['Financial Crime', 'Tax', 'Banking & Financial Markets']",Polish,Poland-1082,New obligations imposed on financial institutions - a draft act on the use of the financial sector in counteracting fiscal extortion
Tax and legal news 24 October 2016,['Tax'],English,Finland-3161,Tax and legal news 24 October 2016
Finanstilsynet tillader en forlænget implementeringsperiode for reglerne om stærk kundeautentifikation,"['Governance, Controls & Compliance', 'Government & Policy', 'Banking & Financial Markets']",Danish,Denmark-12882,The Danish Financial Supervisory Authority allows an extended implementation period for the rules of strong customer authentication
Tillit i en digital finansverden,['Technology'],Norwegian,Norway-11969,Tillit in a digital financial world
İleti Yönetim Sistemi (“İYS”) Kayıt ve Entegrasyon Süreleri Uzatıldı Yeni Tarih: 1 Aralık 2020,['Technology'],Turkish,Turkey-9392,Post Management System (“IYS”) Record and Integration Time Extended New Date: 1 December 2020
DAC6 - Skatteministeriet offentliggør udkast til lovforslag,['Government & Policy'],Danish,Denmark-12840,DAC6 - Ministry of Taxation publishes draft bill
Projekt rozporządzenia w sprawie rynków kryptoaktywów (MiCA) | PwC,['Banking & Financial Markets'],Polish,Poland-1225,Draft regulation on cryptoactic markets (MICA) Pwc
Przechowywanie papierów wartościowych a zwolnienie z VAT,"['VAT & Customs', 'Banking & Financial Markets']",Polish,Poland-1165,Storage of securities and VAT exemption
497 Sıra No’lu Vergi Usul Kanunu,['Tax'],Turkish,Turkey-6681,Tax Procedure Law No. 497
EU's digitale indre marked,"['Government & Policy', 'Technology']",Danish,Denmark-12823,EU's digital internal market
auditoria,['Accounting & Assurance'],Spanish,Spain-1191,audit
Automatisér Invoice-to-Pay-processen ved brug af artificial intelligence (AI),"['Technology', 'Accounting & Assurance']",Danish,Denmark-12936,Automate the Invoice-to-Pay process using Artificial Intelligence (AI)
Baselkomiteen offentliggør rapport om klimarelaterede finansielle risici,"['Government & Policy', 'Power, Energy & Renewables', 'Banking & Financial Markets']",Danish,Denmark-13161,The Basel Committee publishes report on climate -related financial risks
Corporate responsibility,['Corporate Responsibility'],English,Finland-2982,Corporate responsibility
Slik sikrer du digitale arbeidsplasser i «den nye normalen»,"['Human Resource', 'Technology']",Norwegian,Norway-11953,"To ensure digital workplaces in ""The New Normal"""
Tax and legal news 10 February 2017,['Tax'],English,Finland-3143,Tax and legal news 10 February 2017
Projekty rozporządzeń dotyczących CIT-TP oraz CbCR opublikowane przez Ministerstwo Finansów,"['Tax', 'Government & Policy', 'Governance, Controls & Compliance']",Polish,Poland-1067,Draft regulations regarding CIT-TP and CBCR published by the Ministry of Finance
Business analytics to drive organisation performance and guide digital transformation,['Technology'],English,Global-13667,Business analytics to drive organisation performance and guide digital transformation
La confianza de los CEOs mundiales en la marcha de sus negocios y de la economía seguirá estancada en 2013,"['Board, Strategy & Management']",Spanish,Spain-2027,The confidence of world CEOs in the progress of their businesses and the economy will continue to stagnate in 2013
Kur etkisi ile bozulmuş bilançoları güçlendirmeye dönük öneriler (3),"['Accounting & Assurance', 'Banking & Financial Markets']",Turkish,Turkey-8845,Suggestions for strengthening the balance sheets with exchange effect (3)
Podcast: Update om den finansielle sektor - økonomifunktioner,"['Banking & Financial Markets', 'Accounting & Assurance']",Danish,Denmark-12528,Podcast: Update about the financial sector - finance functions
Yritysjärjestelyt,['M&A & Valuations'],Finnish,Finland-3894,Merger arrangements
PwC po raz drugi zostało partnerem merytorycznym Międzynarodowego Kongresu Firm Rodzinnych  „Nowe Horyzonty – Firmy Rodzinne wobec zmian”,['SME & Family Business'],Polish,Poland-1372,"PwC for the second time became a substantive partner of the International Congress of Family Business ""Nowe Horizons - Family Companies in the face of changes"""
סיוע לעמידה בהוראות חוק Sarbanes-Oxley,"['Governance, Controls & Compliance', 'Accounting & Assurance']",Hebrew,Israel-4313,Assistance to meet the provisions of the Sarbanes-Oxley Law
DVCA: Opdaterede retningslinjer for kapitalfonde og kapitalfondsejede virksomheder,['Asset & wealth management'],Danish,Denmark-13071,DVCA: Updated guidelines for mutual funds and capital fund -owned companies
İthalatta Gözetim Uygulanmasına İlişkin Tebliğ (Tebliğ No: 2018/13),['VAT & Customs'],Turkish,Turkey-7471,Communiqué on the Implementation of Import (Communiqué No: 2018/13)
What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer,"['Human Resource', 'Healthcare & Pharmaceuticals']",English,Greece-10412,What are the opportunities to embrace new ways of working throughout the COVID-19 pandemic? - Ben Hamer
